GRAPHEME	PHONATION	PLACE	SECONDARY	MANNER	EXTRA	ALIAS	NOTE
ʘq	voiceless	labial	uvular-plosive	stop-cluster			
ʘɢ	voiceless	labial	uvular-voiced-plosive	stop-cluster			
ʘqʰ	voiceless	labial	uvular-aspirated-plosive	stop-cluster			
ʘɢʰ	voiceless	labial	uvular-voiced-aspirated-plosive	stop-cluster			
ʘqʼ	voiceless	labial	uvular-ejective-plosive	stop-cluster			
ʘɢʼ	voiceless	labial	uvular-voiced-ejective-plosive	stop-cluster			
ʘh	voiceless	labial	voiced-glottal	stop-cluster			
ʘʔ	voiceless	labial	glottal	stop-cluster			
ǀ	voiceless	dental		stop-segment			
ǀχ	voiceless	dental	uvular-fricative	stop-cluster			
ǀqχ	voiceless	dental	uvular-affricate	stop-cluster			
ǀqχʼ	voiceless	dental	uvular-ejective-affricate	stop-cluster			
ǀq	voiceless	dental	uvular-plosive	stop-cluster			
ǀɢ	voiceless	dental	uvular-voiced-plosive	stop-cluster			
ǀqʰ	voiceless	dental	uvular-aspirated-plosive	stop-cluster			
ǀɢʰ	voiceless	dental	uvular-voiced-aspirated-plosive	stop-cluster			
ǀqʼ	voiceless	dental	uvular-ejective-plosive	stop-cluster			
ǀɢʼ	voiceless	dental	uvular-voiced-ejective-plosive	stop-cluster			
ǀh	voiceless	dental	voiced-glottal	stop-cluster			
ǀʔ	voiceless	dental	glottal	stop-cluster			
ǃ	voiceless	alveolar		stop-segment			
ǃχ	voiceless	alveolar	uvular-fricative	stop-cluster			
ǃqχ	voiceless	alveolar	uvular-affricate	stop-cluster			
ǃqχʼ	voiceless	alveolar	uvular-ejective-affricate	stop-cluster			
ǃq	voiceless	alveolar	uvular-plosive	stop-cluster			
ǃɢ	voiceless	alveolar	uvular-voiced-plosive	stop-cluster			
ǃqʰ	voiceless	alveolar	uvular-aspirated-plosive	stop-cluster			
ǃɢʰ	voiceless	alveolar	uvular-voiced-aspirated-plosive	stop-cluster			
ǃqʼ	voiceless	alveolar	uvular-ejective-plosive	stop-cluster			
ǃɢʼ	voiceless	alveolar	uvular-voiced-ejective-plosive	stop-cluster			
ǃh	voiceless	alveolar	voiced-glottal	stop-cluster			
ǃʔ	voiceless	alveolar	glottal	stop-cluster			
ǂ	voiceless	palatal		stop-segment			
ǂχ	voiceless	palatal	uvular-fricative	stop-cluster			
ǂqχ	voiceless	palatal	uvular-affricate	stop-cluster			
ǂqχʼ	voiceless	palatal	uvular-ejective-affricate	stop-cluster			
ǂq	voiceless	palatal	uvular-plosive	stop-cluster			
ǂɢ	voiceless	palatal	uvular-voiced-plosive	stop-cluster			
ǂqʰ	voiceless	palatal	uvular-aspirated-plosive	stop-cluster			
ǂɢʰ	voiceless	palatal	uvular-voiced-aspirated-plosive	stop-cluster			
ǂqʼ	voiceless	palatal	uvular-ejective-plosive	stop-cluster			
ǂɢʼ	voiceless	palatal	uvular-voiced-ejective-plosive	stop-cluster			
ǂh	voiceless	palatal	voiced-glottal	stop-cluster			
ǂʔ	voiceless	palatal	glottal	stop-cluster			
ǁ	voiceless	lateral		stop-segment			
ǁχ	voiceless	lateral	uvular-fricative	stop-cluster			
ǁqχ	voiceless	lateral	uvular-affricate	stop-cluster			
ǁqχʼ	voiceless	lateral	uvular-ejective-affricate	stop-cluster			
ǁq	voiceless	lateral	uvular-plosive	stop-cluster			
ǁɢ	voiceless	lateral	uvular-voiced-plosive	stop-cluster			
ǁqʰ	voiceless	lateral	uvular-aspirated-plosive	stop-cluster			
ǁɢʰ	voiceless	lateral	uvular-voiced-aspirated-plosive	stop-cluster			
ǁqʼ	voiceless	lateral	uvular-ejective-plosive	stop-cluster			
ǁɢʼ	voiceless	lateral	uvular-voiced-ejective-plosive	stop-cluster			
ǁh	voiceless	lateral	voiced-glottal	stop-cluster			
ǁʔ	voiceless	lateral	glottal	stop-cluster			
ŋʘ	voiced	labial 		nasal			
ŋǀ	voiced	dental 		nasal			
ŋǃ	voiced	alveolar 		nasal			
ŋǂ	voiced	palatal 		nasal			
ŋǁ	voiced	lateral 		nasal			
ŋ̊ʘ	voiced	labial 		nasal	voicing:devoiced		
ŋ̊ǀ	voiced	dental 		nasal	voicing:devoiced		
ŋ̊ǃ	voiced	alveolar 		nasal	voicing:devoiced		
ŋ̊ǂ	voiced	palatal 		nasal	voicing:devoiced		
ŋ̊ǁ	voiced	lateral 		nasal	voicing:devoiced		
ˀŋʘ	voiced	labial 		nasal	preceding:pre-glottalized		
ˀŋǀ	voiced	dental 		nasal	preceding:pre-glottalized		
ˀŋǃ	voiced	alveolar 		nasal	preceding:pre-glottalized		
ˀŋǂ	voiced	palatal 		nasal	preceding:pre-glottalized		
ˀŋǁ	voiced	lateral 		nasal	preceding:pre-glottalized		
ŋgʘ	voiced	labial 		nasal	preceding:postoralized		
ŋgǀ	voiced	dental 		nasal	preceding:postoralized		
ŋgǃ	voiced	alveolar 		nasal	preceding:postoralized		
ŋgǂ	voiced	palatal 		nasal	preceding:postoralized		
ŋgǁ	voiced	lateral 		nasal	preceding:postoralized		
